chunk_id,prompt
TST_0012,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The tour was undertaken to celebrate the release of Savage Garden's 10th anniversary greatest hits album.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0013,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""They have brought their talents to the fore as the festival's continued growth is very much due to their commitment.\""\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0014,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""In particular, it transformed Cuba's relationship with the United States, although efforts to improve diplomatic relations have gained momentum in recent years.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0015,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""There were eight matches on for the event's card.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0016,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Hurricane Paul was a strong tropical cyclone that threatened the Baja California peninsula during October 2012.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0017,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""In the treaty signed Demetrius received some fortresses in Attica but Athens was freed from a Macedonian garrison.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0018,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""They knowingly attempted to land using an inappropriate navigation signal and ignored alarms warning them of an impending crash.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0019,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The fire started on August 17, 2013, during the 2013 California wildfire season, and grew to be (at the time) the third-largest wildfire in California's history, having burned .\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0020,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Denmark finished in second place, with one silver and one bronze won.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0021,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The show has received positive criticism, complimenting their showmanship, as well as the longevity of their signature sound and look.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0022,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""As of January 2016, there have been more than 800 fatalities and almost 3,000 injuries.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0023,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""A subsequent incident led to a further ban, which was later lifted.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0024,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""In particular, the 9th Parachute Battalion, which was assigned the task of destroying the Merville artillery battery, was only able to gather up a fraction of its strength before it had to attack the battery, with the result that the depleted force suffered heavy casualties.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0025,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The seventeen-day war caused thousands of casualties on both sides and witnessed the largest engagement of armored vehicles and the largest tank battle since World War II.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0026,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The Greeks were later assisted by the Russian Empire, Great Britain, and the Kingdom of France, while the Ottomans were aided by their North African vassals, the eyalets of Egypt, Algeria, and Tripolitania, and the Beylik of Tunis.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0027,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The Arauco War was a long-running conflict between colonial Spaniards and the Mapuche people, mostly fought in the Araucanía.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0028,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""All three of them, Ron Launius, Billy DeVerell, and Joy Miller, along with their accomplice Barbara Richardson, died from extensive blunt-force trauma injuries.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0029,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The First Ivorian Civil War was a conflict in the Ivory Coast (also known as Côte d'Ivoire) that began in 2002.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0030,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The purpose of the march was to advocate for the civil and economic rights of African Americans.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0031,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Observers estimated that 75–80% of the marchers were black.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0032,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""In two provinces in Mozambique, the cyclone damaged or destroyed 25,000 houses, leaving at least 23,000 people homeless.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0033,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""This was last competed as a world championship event in 1994 between nations.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0034,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""In trials at the International Criminal Tribunal for the former Yugoslavia (ICTY) and the Court of Bosnia and Herzegovina members of the group who carried out the killings, including their leader, Darko Mrđa, were convicted and sentenced to various terms of imprisonment.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0035,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""After hitting Davao Oriental and Compostela Valley provinces, Bopha shifted through the southern and central regions of Mindanao, cutting power to two provinces and triggering landslides.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0036,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""There were fifty-four passengers on board (four of whom were reported to be children) and a crew of four.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0037,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The crash sparked large controversy and trust issue in every Indonesian built aircraft.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0038,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""On December 18, 2009, KROQ-FM released a compilation called \""KROQ Almost Acoustic Christmas 2009\"", a benefit album with proceeds benefiting Para Los Ninos and the Al Wooten Heritage Center.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0039,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Marley then left for Germany to receive cancer treatment which eventually was not successful but prolonged his life 6 months more than any medical clinic in the United States predicted, as Marley died in May 1981.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0040,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Referee David Manning awarded the match and the title to the Fantastics despite of the fact that Manning's pin count of a Fantastics member pinning a Midnight Express member started after referee Rick Hazzard's pin count of a Midnight Express member pinning a Fantastics member ended at 3.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0041,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Runners-up Jim Furyk, Colin Montgomerie, and Phil Mickelson all failed to par the 72nd hole.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0042,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Hurricane Gabrielle was a powerful tropical cyclone that caused nine fatalities in the United States and Canada, despite remaining hundreds of miles offshore.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
TST_0043,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The earthquake also affected Chile's capital city Santiago with great intensity.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0001,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""In the aftermath of the engagement, a French battle squadron that formed part of the developing Atlantic campaign of May 1794 pursued both ships for the rest of the day; their quarry eventually escaped after dark.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0002,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The 1957 crash of a Douglas C-47 plane named \""Mt.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0003,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The tour was managed by touring veteran Scotty Ross, who has also managed the tours of Poison, Dio, Saliva and Celtic Woman.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0004,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Though initially forecast to make landfall in Cagayan Valley, the storm followed a more westerly path and was later forecast to make landfall in the Bicol Region and then pass through Bataan and Zambales before brushing past Metro Manila.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0005,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The 2011 revival was a two-day event on Friday and Saturday only.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0006,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The Atlantic campaign of May 1794 was a series of operations conducted by the British Royal Navy's Channel Fleet against the French Navy's Atlantic Fleet, with the aim of preventing the passage of a strategically important French grain convoy travelling from the United States to France.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0007,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Operation Corridor 92 (, \""Operacija Koridor 92\"") was the largest operation conducted during the Bosnian War by the Army of Republika Srpska (VRS) against the forces of the Croatian Defence Council (HVO) and the Croatian Army (HV) in the Bosanska Posavina region of northern Bosnia and Herzegovina between 24 June and 6 October 1992.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0008,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Due to incorrect automatic direction finder (ADF) readings caused by the thunderstorm, the plane strayed 15 km (9.3 mi) west from the procedural let-down track.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0009,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The Fountain Valley massacre was a mass shooting that occurred on the afternoon of 6 September 1972 at the Fountain Valley Golf Course in St. Croix, United States Virgin Islands.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0010,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""CMLL did not hold any special events on Fridays that would force a cancellation such as a pay-per-view (PPV).\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0011,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""Ships in the vicinity of the storm reported a much stronger tropical cyclone than initially suggested.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0012,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""However, much of the property and crop damage wrought by the hurricane was due to the torrential rainfall it produced in low-lying areas, setting off record floods.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0013,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""On Wednesday, December 23, 1964, Flying Tiger Line Flight 282 arrived at San Francisco International Airport from Japan.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0014,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The Siege of Madrid was a two and a half year siege of the Spanish capital city of Madrid, during the Spanish Civil War of 1936 to 1939.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
VAL_0015,"You are an information-extraction assistant. Extract all events from the given text. Return only what’s requested; no explanations.


TASK: Extract every event in the text. For each event, write:
<EVENTSEP> Event type: <TYPE>. Trigger: <TRIGGER>.

Text:
""\""The Peruvian warship managed to outrun the British squadron after a fierce exchange of fire.\""""

Rules:
- Use <EVENTSEP> exactly as a separator between events.
- Include ALL events mentioned.
- Keep it one line per event: ""<EVENTSEP> Event type: X. Trigger: y."""
